,Model Name,Price,Images
0,"SAMSUNG Galaxy A52 (Awesome Violet, 128 GB)","₹24,899",https://rukminim2.flixcart.com/image/312/312/kmf7ki80/mobile/z/w/q/galaxy-a52-sm-a525flvhins-samsung-original-imagfb4x2yshzagy.jpeg?q=70
1,"mobiistar E1 Selfie (Black, 32 GB)","₹4,990",https://rukminim2.flixcart.com/image/312/312/jmwch3k0/mobile/b/p/b/mobiistar-e1-selfie-e1-selfie-original-imaf9z6vhxhqwyaf.jpeg?q=70
2,"POCO M3 (Yellow, 64 GB)","₹11,999",https://rukminim2.flixcart.com/image/312/312/kklhbbk0/mobile/5/4/p/m3-mzb087cin-poco-original-imafzxf92cbfbnyq.jpeg?q=70
3,"SAMSUNG Galaxy M51 (Electric Blue, 128 GB)","₹30,989",https://rukminim2.flixcart.com/image/312/312/kgzg8sw0/mobile/p/t/e/samsung-galaxy-m51-sm-m515fzbeins-original-imafx3c8qgphcqw2.jpeg?q=70
4,"SAMSUNG Galaxy M02 (Blue, 32 GB)","₹7,999",https://rukminim2.flixcart.com/image/312/312/kkzrpu80/mobile/x/x/u/galaxy-m02-b08t2nnt4s3-samsung-original-imagy73c8fubvzg3.jpeg?q=70
5,"SAMSUNG M02s (Red, 64 GB)","₹9,999",https://rukminim2.flixcart.com/image/312/312/kk2wl8w0/mobile/1/p/o/m02s-sb08rswhmz63-samsung-original-imafzg4bswjmgujz.jpeg?q=70
6,"vivo V15 Pro (Ruby Red, 128 GB)","₹34,990",https://rukminim2.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/h/z/e/v15-pro-128-b-1818-vivo-6-original-imafegnhhqgvhhxv.jpeg?q=70
7,"LYF Water F1S (Black, 32 GB)","₹10,099",https://rukminim2.flixcart.com/image/312/312/mobile/q/r/n/lyf-water-f1s-na-original-imaeqf2smx5cdths.jpeg?q=70
8,"Swipe Elite VR (Grey/Space Grey, 8 GB)","₹5,999",https://rukminim2.flixcart.com/image/312/312/jaij3bk0/mobile/u/n/m/swipe-elite-vr-elite-vr-original-imaezqbhstznjysk.jpeg?q=70
9,"Infinix Hot 10 Play (Obsidian Black, 64 GB)","₹9,499",https://rukminim2.flixcart.com/image/312/312/knm2s280/mobile/j/x/c/hot-10-play-x688b-infinix-original-imag29gxqzuxkmnk.jpeg?q=70
10,"realme 6 Pro (Lightning Orange, 128 GB)","₹19,999",https://rukminim2.flixcart.com/image/312/312/k7dnonk0/mobile/f/m/k/realme-6-pro-rbs0626in-original-imafpmfth8ymhekb.jpeg?q=70
11,"Tecno Spark Go 2020 (Ice jadeite, 32 GB)","₹7,999",https://rukminim2.flixcart.com/image/312/312/kelptow0/mobile/k/h/j/tecno-spark-go-2020-ke5-original-imafv8skdgzmffvz.jpeg?q=70
12,"Lenovo Phab 2 Plus (Gunmetal Grey, 32 GB)","₹15,103",https://rukminim2.flixcart.com/image/312/312/mobile/b/q/p/lenovo-phab-2-plus-pb2-670m-original-imaeqcpw4shswuzd.jpeg?q=70
13,"OPPO A15 (Mystery Blue, 32 GB)","₹10,990",https://rukminim2.flixcart.com/image/312/312/kmwcuq80/mobile/w/h/1/a15-cph2179-oppo-original-imagfpgrsxpbfehy.jpeg?q=70
14,"realme 6 (Comet White, 128 GB)","₹16,999",https://rukminim2.flixcart.com/image/312/312/k7dnonk0/mobile/x/3/n/realme-6-rbs0604in-original-imafpmftdkbsjnwn.jpeg?q=70
15,"vivo Y51 (Titanium Sapphire, 128 GB)","₹21,990",https://rukminim2.flixcart.com/image/312/312/kij6f0w0/mobile/s/y/w/vivo-y51-v2030-original-imafyandhh6skdeu.jpeg?q=70
16,"Lenovo Phab 2 Plus (Champagne Gold, 32 GB)","₹9,999",https://rukminim2.flixcart.com/image/312/312/j0wqj680/mobile/k/v/7/lenovo-phab-2-plus-pb2-670m-original-imaeshthh8unbajg.jpeg?q=70
17,"Apple iPhone XR (Coral, 64 GB) (Includes EarPods, Power Adapter)","₹47,900",https://rukminim2.flixcart.com/image/312/312/jnj7iq80/mobile/u/a/p/apple-iphone-xr-mryg2hn-a-original-imafa6zkzyntrt3t.jpeg?q=70
18,"SAMSUNG M31 Prime (Ocean Blue, 128 GB)","₹17,399",https://rukminim2.flixcart.com/image/312/312/kgl5ua80/mobile/2/3/h/samsung-m31-prime-sm-m315fzbg1-original-imafwsr3cjzf8n4k.jpeg?q=70
19,"LYF Water 4 (White, 16 GB)","₹4,999",https://rukminim2.flixcart.com/image/312/312/mobile/m/h/4/lyf-water-4-na-original-imaejb3pcmewpfcq.jpeg?q=70
20,"Tecno Spark 7T (Jewel Blue, 64 GB)","₹10,490",https://rukminim2.flixcart.com/image/312/312/krme93k0/mobile/v/0/h/spark-7t-spark-7t-tecno-original-imag5cz4xgtfvm6w.jpeg?q=70
21,"REDMI Note 10 Pro (Vintage Bronze, 64 GB)","₹21,999",https://rukminim2.flixcart.com/image/312/312/kmccosw0/mobile/g/j/z/note-10-pro-m2010j19ds-redmi-original-imagf9zu7fymtz5k.jpeg?q=70
22,"mobiistar X1 selfie (Blue, 32 GB)","₹6,499",https://rukminim2.flixcart.com/image/312/312/jngcn0w0/mobile/k/h/q/mobiistar-x1-x1-selfie-original-imafa2nsty4whh6a.jpeg?q=70
23,"REDMI Note 10 (Frost White, 128 GB)","₹15,998",https://rukminim2.flixcart.com/image/312/312/kmax8y80/mobile/i/h/9/note-10-m2010ghtd1-redmi-original-imagf8hqq9nsmtvz.jpeg?q=70
