,Model Name,Price,Images
0,"OPPO A96 (Starry Black, 128 GB)","₹19,999",https://rukminim1.flixcart.com/image/312/312/l0zm64w0/mobile/w/0/i/-original-imagcnn5ahg6pwzd.jpeg?q=70
1,"Micromax IN 1 (Blue, 64 GB)","₹14,999",https://rukminim1.flixcart.com/image/312/312/kmds4nk0/mobile/v/l/m/in-1-e6746-micromax-original-imagfakndtcmhgyx.jpeg?q=70
2,"Infinix Hot 10S (95° Black, 64 GB)","₹9,999",https://rukminim1.flixcart.com/image/312/312/kqfj1jk0/mobile/h/l/d/hot-10s-x689-64-4-infinix-original-imag4fk5ajmdtwz4.jpeg?q=70
3,"realme C21 (Cross Blue, 32 GB)","₹9,599",https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/mobile/g/r/g/c21-rmx3201-realme-original-imagfxfwn9aryyda.jpeg?q=70
4,"REDMI Note 10T 5G (Chromium White, 64 GB)","₹12,999",https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/o/q/q/-original-imagcaaw5zg6amp5.jpeg?q=70
5,"SAMSUNG Galaxy A03 (Blue, 32 GB)","₹10,499",https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/mobile/z/4/7/-original-imagchh89wufbej2.jpeg?q=70
6,"OPPO A12 (Blue, 32 GB)","₹9,990",https://rukminim1.flixcart.com/image/312/312/kb1470w0/mobile/q/g/g/oppo-a12-cph2083-original-imafsh2hfkyamqyt.jpeg?q=70
7,"OPPO A12 (Black, 32 GB)","₹9,990",https://rukminim1.flixcart.com/image/312/312/kb1470w0/mobile/6/r/s/oppo-a12-cph2083-original-imafsh2hvz4f2sa5.jpeg?q=70
8,"OPPO A16E (White, 64 GB)","₹10,990",https://rukminim1.flixcart.com/image/312/312/l12h1u80/mobile/h/m/8/-original-imagcq2qpgx6nhet.jpeg?q=70
9,"vivo X50 (Frost Blue, 128 GB)","₹39,990",https://rukminim1.flixcart.com/image/312/312/kcm9t3k0/mobile/t/k/m/vivo-x50-vivo-2004-original-imaftppacmcg2m5q.jpeg?q=70
10,"Micromax IN 1 (Blue, 128 GB)","₹16,499",https://rukminim1.flixcart.com/image/312/312/kmds4nk0/mobile/v/l/m/in-1-e6746-micromax-original-imagfakndtcmhgyx.jpeg?q=70
11,"realme C11 2021 (Cool Blue, 32 GB)","₹7,499",https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/o/4/x/c11-2021-rmx3231-realme-original-imag4j4yrdt7d9cj.jpeg?q=70
12,"OPPO A52 (Twilight Black, 128 GB)","₹17,990",https://rukminim1.flixcart.com/image/312/312/kdoup3k0/mobile/t/s/9/oppo-a52-cph2061-original-imafujhyzrexfeaj.jpeg?q=70
13,"OPPO A12 (Flowing Silver, 64 GB)","₹10,990",https://rukminim1.flixcart.com/image/312/312/kjx6tu80/mobile/k/v/y/oppo-a12-cph2083-original-imafze3fkyc6ghjy.jpeg?q=70
14,"OPPO A16E (Midnight Black, 32 GB)","₹9,990",https://rukminim1.flixcart.com/image/312/312/l12h1u80/mobile/i/v/x/-original-imagcq2qkvz8ddp6.jpeg?q=70
15,"vivo X50 (Glaze Black, 128 GB)","₹39,990",https://rukminim1.flixcart.com/image/312/312/kcm9t3k0/mobile/u/k/5/vivo-x50-vivo-2004-original-imaftppahbbhg9zp.jpeg?q=70
16,"realme X (Space Blue, 128 GB)","₹17,999",https://rukminim1.flixcart.com/image/312/312/k3ncakw0pkrrdj/mobile/a/h/w/realme-x-rmx1901-original-imafgzg9yvran9r3.jpeg?q=70
17,"SAMSUNG Galaxy A33 (Awesome Black, 128 GB)","₹25,499",https://rukminim1.flixcart.com/image/312/312/l1l1rww0/mobile/m/e/g/-original-imagd4de95nsrbxy.jpeg?q=70
18,"vivo Y20A (Dawn White, 64 GB)","₹15,490",https://rukminim1.flixcart.com/image/312/312/kjlrb0w0/mobile/n/y/8/vivo-y20a-v2052-original-imafz4z8z2hqhy4z.jpeg?q=70
19,"OPPO A12 (Deep Blue, 32 GB)","₹9,990",https://rukminim1.flixcart.com/image/312/312/kjx6tu80/mobile/c/e/8/oppo-a12-cph2083-original-imafze3h8d7n7jnh.jpeg?q=70
20,"realme C11 2021 (Cool Grey, 32 GB)","₹7,499",https://rukminim1.flixcart.com/image/312/312/kqjtd3k0/mobile/s/b/8/c11-2021-rmx3231-realme-original-imag4j4xkqchhfxk.jpeg?q=70
21,"OPPO A16E (Blue, 64 GB)","₹10,990",https://rukminim1.flixcart.com/image/312/312/l12h1u80/mobile/o/n/o/-original-imagcq2qq6mjczsd.jpeg?q=70
22,"SAMSUNG Galaxy A03s (White, 32 GB)","₹10,999",https://rukminim1.flixcart.com/image/312/312/ksgehzk0/mobile/j/9/r/galaxy-a03s-sm-a037fzwgins-sm-a037fzw6ins-samsung-original-imag6ygqbmhzgevh.jpeg?q=70
23,"realme C25Y (Metal Grey, 64 GB)","₹10,999",https://rukminim1.flixcart.com/image/312/312/ktlu9ow0/mobile/p/c/u/c25y-rmx3265-realme-original-imag6wmjczbfhk4w.jpeg?q=70
