,Model Name,Price,Images
0,"POCO M4 5G (Yellow, 128 GB)","₹14,999",https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/g/l/5/-original-imagdu8j9k3ejjc3.jpeg?q=70
1,"vivo Y53s (Deep Sea Blue, 128 GB)","₹15,990",https://rukminim1.flixcart.com/image/312/312/ks3jjbk0/mobile/p/b/k/y53s-v2058-vivo-original-imag5q35phmm3fjc.jpeg?q=70
2,"vivo Y53s (Fantastic Rainbow, 128 GB)","₹15,990",https://rukminim1.flixcart.com/image/312/312/ks3jjbk0/mobile/j/f/u/y53s-v2058-vivo-original-imag5q36vjkr4dze.jpeg?q=70
3,"OPPO K10 (Blue Flame, 128 GB)","₹14,990",https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/h/x/3/-original-imagduwqakhhkrse.jpeg?q=70
4,"REDMI Note 10T 5G (Metallic Blue, 128 GB)","₹14,999",https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/y/j/4/-original-imagcaaw4d7bv7pj.jpeg?q=70
5,"REDMI 10 (Pacific Blue, 128 GB)","₹12,999",https://rukminim1.flixcart.com/image/312/312/l0tweq80/mobile/w/r/t/-original-imagcgtgwg5taegn.jpeg?q=70
6,"realme 8 (Cyber Silver, 128 GB)","₹17,099",https://rukminim1.flixcart.com/image/312/312/kmmcrrk0/mobile/y/o/q/8-rmx3085-realme-original-imagfgpgmm6h8ptt.jpeg?q=70
7,"realme 8 (Cyber Black, 128 GB)","₹17,099",https://rukminim1.flixcart.com/image/312/312/kmmcrrk0/mobile/4/g/a/8-rmx3085-realme-original-imagfgpfdkyc29zc.jpeg?q=70
8,"REDMI 10 (Midnight Black, 128 GB)","₹12,999",https://rukminim1.flixcart.com/image/312/312/l0tweq80/mobile/x/f/u/-original-imagcgtghym8theg.jpeg?q=70
9,"vivo T1 5G (Rainbow Fantasy, 128 GB)","₹19,990",https://rukminim1.flixcart.com/image/312/312/kzd147k0/mobile/m/c/f/-original-imagbe5qknarjywp.jpeg?q=70
10,"realme 9i (Prism Blue, 128 GB)","₹14,999",https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/s/5/d/-original-imagagnfgh6ed7tp.jpeg?q=70
11,"OPPO K10 (Black Carbon, 128 GB)","₹14,990",https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/h/x/3/-original-imagduwqakhhkrse.jpeg?q=70
12,"realme C31 (Dark Green, 64 GB)","₹9,999",https://rukminim1.flixcart.com/image/312/312/l1dwknk0/mobile/p/r/0/-original-imagcyj2prahc4pk.jpeg?q=70
13,"Infinix Hot 11 2022 (Aurora Green, 64 GB)","₹9,999",https://rukminim1.flixcart.com/image/312/312/l1ch4sw0/mobile/f/t/n/-original-imagcx87hnxb3v2u.jpeg?q=70
14,"vivo T1 5G (Starlight Black, 128 GB)","₹19,990",https://rukminim1.flixcart.com/image/312/312/kzd147k0/mobile/d/1/b/-original-imagbe5qddy9xr6y.jpeg?q=70
15,"realme Narzo 50i (Carbon Black, 32 GB)","₹7,599",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/h/b/c/narzo-50i-rmx3231-realme-original-imag75hcyzzggbat.jpeg?q=70
16,"realme Narzo 50i (Mint Green, 32 GB)","₹7,599",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/s/o/j/narzo-50i-rmx3231-realme-original-imag75h86v5thnzy.jpeg?q=70
17,"realme C31 (Light Silver, 64 GB)","₹9,999",https://rukminim1.flixcart.com/image/312/312/l1dwknk0/mobile/f/t/x/-original-imagcyj4unsxhadw.jpeg?q=70
18,"realme 8 (Cyber Silver, 128 GB)","₹18,099",https://rukminim1.flixcart.com/image/312/312/kmmcrrk0/mobile/y/o/q/8-rmx3085-realme-original-imagfgpgmm6h8ptt.jpeg?q=70
19,"realme 8 (Cyber Silver, 128 GB)","₹16,149",https://rukminim1.flixcart.com/image/312/312/kmmcrrk0/mobile/y/o/q/8-rmx3085-realme-original-imagfgpgmm6h8ptt.jpeg?q=70
20,"Redmi 9A Sport (Coral Green, 32 GB)","₹7,985",https://rukminim1.flixcart.com/image/312/312/ku5ufm80/mobile/s/i/q/sport-9a-redmi-original-imag7chxqqu7h5hs.jpeg?q=70
21,"realme Narzo 50i (Carbon Black, 64 GB)","₹8,999",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/h/b/c/narzo-50i-rmx3231-realme-original-imag75hcyzzggbat.jpeg?q=70
22,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹13,999",https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/mobile/k/x/c/-original-imagcg22czc3ggvw.jpeg?q=70
23,"SAMSUNG Galaxy F12 (Sea Green, 128 GB)","₹10,999",https://rukminim1.flixcart.com/image/312/312/kn22m4w0/mobile/a/q/8/galaxy-f12-sm-f127gzgiins-samsung-original-imagftmjw3xqg4yk.jpeg?q=70
